Hasil Pilkada,Jumlah Paslon,Nama Daerah,Jalur Pencalonan,Nama Kandidat (1),Nama Kandidat (2),Gender (1),Gender (2),Usia (1),Usia (2),Latar Belakang Profesi (1),Latar Belakang Profesi (2),Petahana? (1),Petahana? (2),Jumlah PARPOL Pendukung,Persentase PARPOL Pendukung,Jumlah Kursi Pendukung (DPR),Jumlah Kursi Pendukung (DPRD)
Kalah,4,BATU BARA (SUMATERA UTARA)  ,PERORANGAN,"KHAIRIL ANWAR, SH","DRS. H. SOFYAN ALWI, M.HUM",L,L,57,56,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Kalah,3,KOTA PADANG SIDIMPUAN (SUMATERA UTARA)  ,PARPOL,"H. MUHAMMAD ISNANDAR NASUTION, S.SOS","DR. H. ALI PADA HARAHAP, M.PD",L,L,54,61,SIPIL,SIPIL,2,0,5,0.417,0.343,0.400
Kalah,3,KOTA PADANG SIDIMPUAN (SUMATERA UTARA)  ,PARPOL,"H. RUSYDI NASUTION, S.T.P., M.M","DRS. H. ABD. ROSAD LUBIS, MM",L,L,45,60,SIPIL,SIPIL,0,0,4,0.333,0.314,0.400
Menang,3,KOTA PADANG SIDIMPUAN (SUMATERA UTARA)  ,PERORANGAN,"IRSAN EFENDI NASUTION, SH","IR. H. ARWIN SIREGAR, MM",L,L,48,61,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Menang,1,PADANG LAWAS UTARA (SUMATERA UTARA)  ,PARPOL,"ANDAR AMIN HARAHAP, S.STP, M.SI","H. HARIRO HARAHAP, SE, M.SI",L,L,36,52,SIPIL,SIPIL,0,0,11,0.917,1.000,0.967
Kalah,3,PADANG LAWAS (SUMATERA UTARA)  ,PARPOL,H. TONDI RONI TUA,H. SYARIFUDDIN HSB,L,L,36,53,SIPIL,SIPIL,0,0,2,0.167,0.180,0.100
Menang,3,PADANG LAWAS (SUMATERA UTARA)  ,PARPOL,ALI SUTAN HARAHAP,DRG. AHMAD ZARNAWI PASARIBU,L,L,55,42,SIPIL,SIPIL,1,2,10,0.833,0.820,0.900
Kalah,3,PADANG LAWAS (SUMATERA UTARA)  ,PERORANGAN,DRS. H. RAHMAD PARDAMEAN HASIBUAN,SYAHRUL EFENDI HASIBUAN,L,L,55,51,SIPIL,SIPIL,0,0,0,0.000,0.000,0.000
Kalah,2,KOTA PADANG (SUMATERA BARAT)  ,PARPOL,"IR. H. EMZALMI, M.SI","H. DESRI AYUNDA, SE, MBA",L,L,66,57,SIPIL,SIPIL,2,0,9,0.750,0.843,0.733
Menang,2,KOTA PADANG (SUMATERA BARAT)  ,PARPOL,"H. MAHYELDI, SP","HENDRI SEPTA, B.BUS (ACC)., MIB",L,L,52,42,SIPIL,SIPIL,1,0,2,0.167,0.157,0.244
Kalah,3,KOTA SAWAHLUNTO (SUMATERA BARAT)  ,PARPOL,H. FAUZI HASAN,"H. DASRIAL ERY, SE.MM",L,L,66,50,SIPIL,SIPIL,0,0,2,0.167,0.304,0.200
Kalah,3,KOTA SAWAHLUNTO (SUMATERA BARAT)  ,PARPOL,"ALI YUSUF, S.PT","H. ISMED, SH",L,L,48,48,SIPIL,SIPIL,1,2,3,0.250,0.234,0.400
Menang,3,KOTA SAWAHLUNTO (SUMATERA BARAT)  ,PARPOL,"DERI ASTA, SH","ZOHIRIN SAYUTI, SE",L,L,45,62,SIPIL,SIPIL,0,0,3,0.250,0.220,0.250
Kalah,4,KOTA PADANG PANJANG (SUMATERA BARAT)  ,PARPOL,"DR. MAWARDI, MKM","TAUFIQ IDRIS, SH",L,L,55,41,SIPIL,SIPIL,2,0,2,0.167,0.179,0.200
Kalah,4,KOTA PADANG PANJANG (SUMATERA BARAT)  ,PARPOL,"H. HENDRI ARNIS, BSBA","H. EKO FURQANI, SE, MM",L,L,41,45,SIPIL,SIPIL,1,0,2,0.167,0.150,0.200
