Hasil Pilkada,Jumlah Paslon,Nama Daerah,Jalur Pencalonan,Nama Kandidat (1),Nama Kandidat (2),Gender (1),Gender (2),Usia (1),Usia (2),Latar Belakang Profesi (1),Latar Belakang Profesi (2),Petahana? (1),Petahana? (2),Jumlah PARPOL Pendukung,Persentase PARPOL Pendukung,Jumlah Kursi Pendukung (DPR),Jumlah Kursi Pendukung (DPRD)
Kalah,3,KABUPATEN TOBA SAMOSIR,PERORANGAN,"Drs. MONANG SITORUS, SH, MBA",CHRISSIE SAGITA HUTAHAEAN,L,L,60,50,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,5,KABUPATEN TOJO UNA UNA,PARPOL,"MUHAMMAD SYARIF AL DJUFRY, SP","Dra. FATIMAH Hi. MOH. AMIN LASAWEDI, M.Si",L,P,34,54,SIPIL,SIPIL,0,0,2,0.167,0.214,0.2
Menang,5,KABUPATEN TOJO UNA UNA,PARPOL,"MOHAMMAD LAHAY, SE",ADMIN LASIMPALA,L,L,54,49,SIPIL,SIPIL,0,0,3,0.25,0.368,0.36
Kalah,5,KABUPATEN TOJO UNA UNA,PARPOL,"MAHMUD LAHAY, SE.,M.Si",LUCKY LASAHIDO,L,L,49,48,SIPIL,SIPIL,0,0,3,0.25,0.114,0.2
Kalah,5,KABUPATEN TOJO UNA UNA,PERORANGAN,"BASRIN MOHAMMAD, SE.,M.Si","BAHRUN S. MARDANI, S.Sos",L,L,59,50,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,5,KABUPATEN TOJO UNA UNA,PERORANGAN,Ir. SAMSULFIQAR TANJUMBULU,"MA'RUF ANSYAR, SH",L,L,59,50,SIPIL,SIPIL,0,0,0,0,0,0
Menang,4,KABUPATEN TOLI TOLI,PARPOL,"H. MOH. SALEH BANTILAN, SH, MH",H. ABDUL RAHMAN HB,L,L,57,49,SIPIL,SIPIL,1,0,3,0.25,0.25,0.3
Kalah,4,KABUPATEN TOLI TOLI,PARPOL,"H. ISKANDAR A. NASIR, SH, MM","Ir. H. NURDIN HK, SE, MM",L,L,55,56,SIPIL,SIPIL,0,0,2,0.167,0.216,0.2
Kalah,4,KABUPATEN TOLI TOLI,PARPOL,"H. AZIZ BESTARI, ST. MM",Drs. SARPAN M. SAID,L,L,58,49,SIPIL,SIPIL,0,0,2,0.167,0.227,0.2
Kalah,4,KABUPATEN TOLI TOLI,PARPOL,AMRAN Hi. YAHYA,Drs. H. ZAINAL M. DAUD,L,L,47,47,SIPIL,SIPIL,2,0,2,0.167,0.113,0.2
Menang,2,KABUPATEN TORAJA UTARA,PARPOL,"DR. KALATIKU PAEMBONAN, M.Si.","YOSIA RINTO KADANG, ST.",L,L,62,35,SIPIL,SIPIL,0,0,2,0.167,0.325,0.343
Kalah,2,KABUPATEN TORAJA UTARA,PARPOL,"Drs. FREDERIK BATTI SORRING, S.Sos., MM.","FREDERIK BUNTANG ROMBELAYUK, S.Pd.",L,L,60,65,SIPIL,SIPIL,1,2,4,0.333,0.202,0.486
Menang,2,KABUPATEN TRENGGALEK,PARPOL,"Dr. Emil Elestianto, M.Sc",Mochamad Nur Arifin,L,L,31,25,SIPIL,SIPIL,0,0,4,0.333,0.488,0.378
Kalah,2,KABUPATEN TRENGGALEK,PARPOL,"Kholiq, SH, M.Si","Priyo Handoko, SH",L,L,55,50,SIPIL,SIPIL,2,0,1,0.083,0.084,0.2
Menang,2,KABUPATEN TUBAN,PARPOL,H. FATHUL HUDA,"Ir. H. NOOR NAHAR HUSSEIN, M.Si",L,L,61,56,SIPIL,SIPIL,0,0,8,0.667,0.768,0.82
Kalah,2,KABUPATEN TUBAN,PERORANGAN,"ZAKKY MAHBUB, S.H.I",Dra. DWI SUSIANTIN BUDIARTI,L,P,33,50,SIPIL,SIPIL,0,0,0,0,0,0
Kalah,2,KABUPATEN WAKATOBI,PARPOL,"Haliana, SE","Muhammad Syahwal, ST",L,L,41,40,SIPIL,SIPIL,0,0,3,0.25,0.388,0.44
Menang,2,KABUPATEN WAKATOBI,PARPOL,"H. Arhawi, SE","Ilmiati Daud, SE, M.Si",L,P,51,43,SIPIL,SIPIL,2,0,3,0.25,0.245,0.48
Kalah,4,KABUPATEN WAROPEN,PARPOL,"OLLEN OSTAL DAIMBOA, S.Pd, MM","Drs. ZETH TANATI, MM",L,L,43,65,SIPIL,SIPIL,0,0,3,0.25,0.364,0.3
Menang,4,KABUPATEN WAROPEN,PARPOL,"YERMIAS BISAI, SH","HENDRIK WONATOREI, S.Sos",L,L,42,64,SIPIL,SIPIL,2,0,4,0.333,0.341,0.35
Menang,4,KABUPATEN WAROPEN,PARPOL,"Dr. Drs.Yesaya Buinei, MM","Ever Mudumi, S.Sos",L,L,54,51,SIPIL,SIPIL,1,0,3,0.25,0.223,0.35
Kalah,4,KABUPATEN WAROPEN,PERORANGAN,"PENEHAS HUGO TEBAI, S.Th","YANCE WUTOY, S.Th",L,L,41,50,SIPIL,SIPIL,0,0,0,0,0,0
